global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,39.50509262084961,6.938857078552246,,,,,,,,,,,,,,
1,,,0.0011758609693877,6.921917350924745,0.00092,6.921333125,50000.0,0.0008,6.9235796875,10000.0,75.17884802818298,259.57740545272827,75.17884802818298,183.77492928504944,0.0,0.0
1,39.50667572021485,6.922194480895996,,,,,,,,,,,,,,
2,14.852992057800291,6.911928176879883,,,,,,,,,,,,,,
3,14.820796012878418,6.932306289672852,,,,,,,,,,,,,,
4,14.91260814666748,6.924047470092773,,,,,,,,,,,,,,
5,14.88668155670166,6.929291725158691,,,,,,,,,,,,,,
6,14.90475368499756,6.942929267883301,,,,,,,,,,,,,,
7,14.869892120361328,6.914732933044434,,,,,,,,,,,,,,
8,14.859619140625,6.918877601623535,,,,,,,,,,,,,,
9,14.851480484008787,6.917291164398193,,,,,,,,,,,,,,
10,14.99277114868164,6.9327239990234375,,,,,,,,,,,,,,
11,14.838228225708008,6.914977073669434,,,,,,,,,,,,,,
12,14.86622714996338,6.925351142883301,,,,,,,,,,,,,,
13,14.940903663635254,6.929265975952148,,,,,,,,,,,,,,
14,14.899571418762209,6.91294002532959,,,,,,,,,,,,,,
15,14.806328773498535,6.92708683013916,,,,,,,,,,,,,,
16,14.835210800170898,6.89533281326294,,,,,,,,,,,,,,
17,14.86967945098877,6.945763111114502,,,,,,,,,,,,,,
18,14.916403770446776,6.908809661865234,,,,,,,,,,,,,,
19,14.820011138916016,6.931468486785889,,,,,,,,,,,,,,
20,14.929664611816406,6.905303001403809,,,,,,,,,,,,,,
21,14.889209747314451,6.92427921295166,,,,,,,,,,,,,,
22,14.901501655578612,6.895823955535889,,,,,,,,,,,,,,
23,14.896103858947754,6.906786918640137,,,,,,,,,,,,,,
24,14.873494148254396,6.913590908050537,,,,,,,,,,,,,,
25,14.877184867858888,6.901799201965332,,,,,,,,,,,,,,
26,14.857165336608888,6.9296722412109375,,,,,,,,,,,,,,
27,14.960947036743164,6.915424823760986,,,,,,,,,,,,,,
28,14.94752311706543,6.908928871154785,,,,,,,,,,,,,,
29,14.836493492126465,6.903979778289795,,,,,,,,,,,,,,
30,14.985676765441896,6.909470558166504,,,,,,,,,,,,,,
31,14.862444877624512,6.888961791992188,,,,,,,,,,,,,,
32,14.902729988098145,6.889333248138428,,,,,,,,,,,,,,
33,14.950410842895508,6.898004531860352,,,,,,,,,,,,,,
34,14.933688163757324,6.877620697021484,,,,,,,,,,,,,,
35,14.797167778015137,6.89939546585083,,,,,,,,,,,,,,
36,14.895156860351562,6.926837921142578,,,,,,,,,,,,,,
37,14.875444412231444,6.921086311340332,,,,,,,,,,,,,,
38,14.832386016845703,6.874703884124756,,,,,,,,,,,,,,
39,14.892934799194336,6.8941144943237305,,,,,,,,,,,,,,
40,14.918362617492676,6.886589527130127,,,,,,,,,,,,,,
41,14.863399505615234,6.91370153427124,,,,,,,,,,,,,,
42,14.866799354553224,6.889251708984375,,,,,,,,,,,,,,
43,15.025662422180176,6.871935844421387,,,,,,,,,,,,,,
44,14.951526641845703,6.878905773162842,,,,,,,,,,,,,,
45,14.914186477661133,6.88748836517334,,,,,,,,,,,,,,
46,14.98071575164795,6.915680885314941,,,,,,,,,,,,,,
47,14.948482513427734,6.86449146270752,,,,,,,,,,,,,,
48,14.8973970413208,6.859525203704834,,,,,,,,,,,,,,
49,14.91043186187744,6.908514499664307,,,,,,,,,,,,,,
50,14.858165740966797,6.874908447265625,,,,,,,,,,,,,,
51,14.920551300048828,6.882288455963135,,,,,,,,,,,,,,
52,14.917276382446287,6.895628929138184,,,,,,,,,,,,,,
53,14.894554138183594,6.844542503356934,,,,,,,,,,,,,,
54,14.963057518005373,6.86506986618042,,,,,,,,,,,,,,
55,14.851850509643556,6.889947414398193,,,,,,,,,,,,,,
56,14.912096977233888,6.849588394165039,,,,,,,,,,,,,,
57,14.87747287750244,6.884525775909424,,,,,,,,,,,,,,
58,14.840191841125488,6.865746974945068,,,,,,,,,,,,,,
59,14.931153297424316,6.856180191040039,,,,,,,,,,,,,,
60,14.970288276672363,6.832755088806152,,,,,,,,,,,,,,
61,14.847002983093262,6.825783729553223,,,,,,,,,,,,,,
62,14.928339004516602,6.83448600769043,,,,,,,,,,,,,,
63,14.934444427490234,6.820162296295166,,,,,,,,,,,,,,
64,14.987741470336914,6.810337543487549,,,,,,,,,,,,,,
65,14.924227714538574,6.820494174957275,,,,,,,,,,,,,,
66,15.0625581741333,6.856521129608154,,,,,,,,,,,,,,
67,14.955930709838867,6.7963948249816895,,,,,,,,,,,,,,
68,15.084915161132812,6.820194244384766,,,,,,,,,,,,,,
69,14.961004257202148,6.853097915649414,,,,,,,,,,,,,,
70,14.854302406311035,6.855786323547363,,,,,,,,,,,,,,
71,14.708226203918455,6.809596061706543,,,,,,,,,,,,,,
72,14.88840389251709,6.76201057434082,,,,,,,,,,,,,,
73,15.11974811553955,6.810892105102539,,,,,,,,,,,,,,
74,14.965100288391112,6.850421905517578,,,,,,,,,,,,,,
75,14.870962142944336,6.777580261230469,,,,,,,,,,,,,,
76,14.987820625305176,6.802291870117188,,,,,,,,,,,,,,
77,15.050484657287598,6.821744918823242,,,,,,,,,,,,,,
78,14.992552757263184,6.811970233917236,,,,,,,,,,,,,,
79,14.835453033447266,6.8454108238220215,,,,,,,,,,,,,,
80,14.82217788696289,6.717110633850098,,,,,,,,,,,,,,
81,14.854795455932615,6.723429203033447,,,,,,,,,,,,,,
82,14.953737258911133,6.752697467803955,,,,,,,,,,,,,,
83,14.92488956451416,6.767779350280762,,,,,,,,,,,,,,
84,14.951115608215332,6.783356666564941,,,,,,,,,,,,,,
85,15.01185417175293,6.732964038848877,,,,,,,,,,,,,,
86,14.957205772399902,6.760233879089356,,,,,,,,,,,,,,
87,15.095303535461426,6.743459224700928,,,,,,,,,,,,,,
88,14.928910255432127,6.740419387817383,,,,,,,,,,,,,,
89,15.124476432800291,6.726004600524902,,,,,,,,,,,,,,
90,14.976886749267578,6.718375205993652,,,,,,,,,,,,,,
91,15.037028312683104,6.719278335571289,,,,,,,,,,,,,,
92,15.12478256225586,6.716346740722656,,,,,,,,,,,,,,
93,15.035202980041504,6.758861064910889,,,,,,,,,,,,,,
94,14.980254173278809,6.729990005493164,,,,,,,,,,,,,,
95,15.071629524230955,6.76249885559082,,,,,,,,,,,,,,
96,15.00196647644043,6.742292881011963,,,,,,,,,,,,,,
97,14.816081047058104,6.647096157073975,,,,,,,,,,,,,,
98,15.078883171081545,6.628941535949707,,,,,,,,,,,,,,
99,14.990550994873049,6.749661445617676,,,,,,,,,,,,,,
100,14.874878883361816,6.720896720886231,,,,,,,,,,,,,,
500,17.061494827270508,5.687155246734619,,,,,,,,,,,,,,
1000,15.915666580200195,5.100651264190674,,,,,,,,,,,,,,
1104,,,0.173290019132653,4.248521765884088,0.1575,4.370643125,50000.0,0.1124,4.968887109375,10000.0,583.8585531711578,868.0232379436493,583.8585531711578,280.90424513816833,0.0316576957702636,0.0
1500,16.107011795043945,4.770212173461914,,,,,,,,,,,,,,
2000,15.543463706970217,4.471606254577637,,,,,,,,,,,,,,
2200,,,0.2814692283163265,3.467425287986288,0.26032,3.5934225,50000.0,0.1938,4.147854296875,10000.0,1092.6743104457855,1484.776927471161,1092.6743104457855,386.35806107521057,0.0592820644378662,0.0
2500,15.58303165435791,4.496333122253418,,,,,,,,,,,,,,
3000,15.464688301086426,4.11573600769043,,,,,,,,,,,,,,
3296,,,0.3632214604591837,3.007767969248246,0.33998,3.1332278125,50000.0,0.2344,3.859318359375,10000.0,1601.157595872879,2095.87245631218,1601.157595872879,486.5047059059143,0.0873215198516845,0.0
3500,15.456442832946776,3.7046093940734863,,,,,,,,,,,,,,
4000,15.348288536071776,3.981051445007324,,,,,,,,,,,,,,
